ward_id,year_month,predicted_density
E05009288,2024-08,10.426236
E05009288,2024-09,7.443743
E05009288,2024-10,8.174481
E05009288,2024-11,10.03163
E05009288,2024-12,12.623185
E05009288,2025-01,11.235572
E05009288,2025-02,10.07577
E05009305,2024-08,10.672593
E05009305,2024-09,10.053445
E05009305,2024-10,10.760174
E05009305,2024-11,11.385686
E05009305,2024-12,11.353114
E05009305,2025-01,12.136548
E05009305,2025-02,12.716705
E05009308,2024-08,31.179836
E05009308,2024-09,33.307236
E05009308,2024-10,45.12296
E05009308,2024-11,29.554234
E05009308,2024-12,28.366253
E05009308,2025-01,36.901005
E05009308,2025-02,42.407745
E05009317,2024-08,9.953423
E05009317,2024-09,9.822747
E05009317,2024-10,9.586789
E05009317,2024-11,9.757482
E05009317,2024-12,10.050347
E05009317,2025-01,10.573785
E05009317,2025-02,11.007972
E05009318,2024-08,4.0996413
E05009318,2024-09,3.9736612
E05009318,2024-10,4.7345147
E05009318,2024-11,5.0880923
E05009318,2024-12,4.806484
E05009318,2025-01,5.340652
E05009318,2025-02,4.7872815
E05009319,2024-08,8.352259
E05009319,2024-09,7.8795686
E05009319,2024-10,7.193125
E05009319,2024-11,7.835568
E05009319,2024-12,7.2184396
E05009319,2025-01,7.3713813
E05009319,2025-02,6.989635
E05009320,2024-08,5.4000673
E05009320,2024-09,5.363104
E05009320,2024-10,5.318116
E05009320,2024-11,6.4190474
E05009320,2024-12,6.188849
E05009320,2025-01,5.787062
E05009320,2025-02,5.1859703
E05009321,2024-08,9.258734
E05009321,2024-09,11.276213
E05009321,2024-10,10.891816
E05009321,2024-11,11.589196
E05009321,2024-12,11.402747
E05009321,2025-01,12.3119335
E05009321,2025-02,11.480739
E05009322,2024-08,10.085572
E05009322,2024-09,9.818395
E05009322,2024-10,10.0265875
E05009322,2024-11,9.948894
E05009322,2024-12,10.800004
E05009322,2025-01,11.136632
E05009322,2025-02,10.350288
E05009323,2024-08,5.7138133
E05009323,2024-09,5.8315234
E05009323,2024-10,6.004325
E05009323,2024-11,6.559717
E05009323,2024-12,6.628133
E05009323,2025-01,6.6719837
E05009323,2025-02,6.5857954
E05009324,2024-08,3.5385592
E05009324,2024-09,3.3665977
E05009324,2024-10,3.2370462
