Feature,Importance
Crime_Density_Rolling_3,0.643230342514034
Crime_Density_Lag_2,0.1670378722002852
Crime_Density_Lag_1,0.15619521421416874
Avg_Precipitation_Hours,0.003602382559717839
Crime_Density_Rolling_12,0.002945858773839133
ward_id_encoded,0.0023846230183489398
r2,0.0022650766822498356
Avg_Temp_2m_Max,0.0020085652588976103
Avg_Wind_Speed_10m_Max,0.0018182513396096472
Avg_Precipitation_Sum,0.001636424976558148
2007,0.0015201405877249537
Crime_Density_Rolling_6,0.0014893319654697408
r3,0.0013052333665537787
Avg_Daylight_Duration,0.0012668863875584665
Avg_Temp_2m_Min,0.0011269324100942296
Crime_Density_Lag_3,0.0010729801951434358
predicted_rank_2024,0.0010177616070028872
rank_2019,0.0009493948242642477
rank_2007,0.0008752735205899522
mean_annual_rate,0.0008350285708585071
pct_change_2007_2019,0.0008090226609784203
imd_est_2024,0.0007425867451273083
rank_2010,0.0006881418207717819
rank_est_2024,0.0006766848118662649
Month_Num,0.0006256796375297338
2019,0.0004878334285640988
r1,0.0004832001682992113
2010,0.00029859349350915167
2015,0.0002714294469634992
Year,0.0001588469203053962
rank_2015,0.0001260611782402991
Monthly_Weather_Code,4.834471487555518e-05
predicted_rank_2024_int,0.0
