Feature,Coefficient,Abs_Coefficient
Crime_Density_Rolling_3,2.999999999999993,2.999999999999993
Crime_Density_Lag_2,-1.0000000000000024,1.0000000000000024
Crime_Density_Lag_1,-0.9999999999999939,0.9999999999999939
r3,-1.6796315985985139e-13,1.6796315985985139e-13
Year,1.172638375290802e-13,1.172638375290802e-13
mean_annual_rate,-6.364663717862442e-14,6.364663717862442e-14
Month_Num,4.0620452318501255e-14,4.0620452318501255e-14
r1,-3.3914027898293967e-14,3.3914027898293967e-14
Crime_Density_Rolling_12,-1.7043860722656762e-14,1.7043860722656762e-14
predicted_rank_2024,1.3099925489081207e-14,1.3099925489081207e-14
r2,1.124542051478029e-14,1.124542051478029e-14
Crime_Density_Rolling_6,1.0607198150040557e-14,1.0607198150040557e-14
Avg_Temp_2m_Min,7.959949087837079e-15,7.959949087837079e-15
Avg_Precipitation_Hours,-7.409211485607854e-15,7.409211485607854e-15
Avg_Temp_2m_Max,-6.79402960682685e-15,6.79402960682685e-15
rank_2019,-6.607164189716637e-15,6.607164189716637e-15
rank_2007,-3.8225919110258435e-15,3.8225919110258435e-15
rank_2010,-3.108477871974779e-15,3.108477871974779e-15
Avg_Wind_Speed_10m_Max,3.004568307088913e-15,3.004568307088913e-15
rank_2015,-2.4698846851751742e-15,2.4698846851751742e-15
Crime_Density_Lag_3,2.3045834116019058e-15,2.3045834116019058e-15
Avg_Precipitation_Sum,1.7041613818230298e-15,1.7041613818230298e-15
predicted_rank_2024_int,1.5451387760574337e-15,1.5451387760574337e-15
2019,1.3550646565165716e-15,1.3550646565165716e-15
2007,8.314941454056715e-16,8.314941454056715e-16
Monthly_Weather_Code,-5.895733012585019e-16,5.895733012585019e-16
2010,-5.821363599789302e-16,5.821363599789302e-16
imd_est_2024,-5.358918695795524e-16,5.358918695795524e-16
rank_est_2024,-3.037322514897567e-16,3.037322514897567e-16
2015,2.768834380590519e-16,2.768834380590519e-16
ward_id_encoded,1.6950838680438858e-16,1.6950838680438858e-16
pct_change_2007_2019,6.250014931048102e-17,6.250014931048102e-17
Avg_Daylight_Duration,-5.516692311768214e-18,5.516692311768214e-18
