Feature,Coefficient
Crime_Density_Rolling_3,126.56860993893412
2019,0.328770172691921
Crime_Density_Rolling_6,0.29300535372415304
rank_2019,0.28900463867511045
2010,0.23646934805806938
mean_annual_rate,0.19748416262728882
Avg_Precipitation_Hours,0.18767501434584127
r2,0.12175036241472245
r1,0.08303587784831078
Avg_Temp_2m_Max,0.07055103408710921
Month_Num,0.026839918117452892
rank_est_2024,0.01649915359474103
ward_id_encoded,0.011532009851185493
Crime_Density_Lag_3,0.005534534414591407
Avg_Daylight_Duration,0.0030025553046193693
Year,0.0016078633541104607
rank_2010,0.0
r3,0.0
predicted_rank_2024_int,0.0
predicted_rank_2024,0.0
rank_2015,0.0
Avg_Temp_2m_Min,0.0
2007,0.0
pct_change_2007_2019,-5.7437207506659864e-05
Avg_Wind_Speed_10m_Max,-0.0007879053818299667
Crime_Density_Rolling_12,-0.054000358504372535
Monthly_Weather_Code,-0.11118368327771827
Avg_Precipitation_Sum,-0.11519856850099167
imd_est_2024,-0.17549610786882142
rank_2007,-0.25824255691347375
2015,-0.34936070733668595
Crime_Density_Lag_2,-47.2276894146813
Crime_Density_Lag_1,-47.5089858429466
