Feature,Importance
Crime_Density_Rolling_3,0.2454819661992855
Crime_Density_Rolling_6,0.1480885212945568
Crime_Density_Rolling_12,0.10616360990075394
Crime_Density_Lag_1,0.08691682378598999
Crime_Density_Lag_2,0.07815399964463796
Crime_Density_Lag_3,0.047345885747511925
ward_id_encoded,0.020978802847915343
Avg_Wind_Speed_10m_Max,0.015649364857663408
Avg_Temp_2m_Min,0.01525337697424559
Avg_Precipitation_Hours,0.015149560397662156
r1,0.015102692176258144
Avg_Precipitation_Sum,0.015049176880756326
Avg_Temp_2m_Max,0.014921601543000203
Avg_Daylight_Duration,0.013987235512439446
r3,0.013439575011905
mean_annual_rate,0.012940379235938068
pct_change_2007_2019,0.011157041782773923
r2,0.010939096170910628
rank_2019,0.009574314727656264
2019,0.008874174613990572
predicted_rank_2024_int,0.008608768169428994
Month_Num,0.008544194765324937
rank_2007,0.00843184817166136
2015,0.008323845171607332
rank_est_2024,0.008289072057875784
2007,0.00794838547471847
imd_est_2024,0.007884476211458361
2010,0.007782864002747144
predicted_rank_2024,0.007779707797906501
rank_2015,0.0076352212177538716
rank_2010,0.007523409997846171
Monthly_Weather_Code,0.0031602489665405885
Year,0.0029207586892794446
