Feature,Importance
Crime_Density_Rolling_3,0.8254540883147197
Crime_Density_Lag_2,0.06511062787193823
Crime_Density_Lag_1,0.06172474790642554
Crime_Density_Rolling_6,0.014663549115050233
Crime_Density_Rolling_12,0.009496938082267488
Crime_Density_Lag_3,0.0034337020937885644
Avg_Precipitation_Hours,0.003315751833917506
Avg_Precipitation_Sum,0.0018183880244467478
Avg_Wind_Speed_10m_Max,0.0018172715881767966
Avg_Temp_2m_Min,0.0017011702629833698
Avg_Daylight_Duration,0.0014067335693802561
Avg_Temp_2m_Max,0.0011404540245051875
Month_Num,0.0010749923502464402
r2,0.0008025851205752416
ward_id_encoded,0.0007630101647125477
r1,0.0007085727627340691
r3,0.0006249772491781206
pct_change_2007_2019,0.0004908741021695673
mean_annual_rate,0.00046390525966929374
2015,0.00034292052397776534
Year,0.00033650698442268354
rank_2015,0.0003168947443258318
imd_est_2024,0.00030248397188463135
rank_est_2024,0.00030233279260621893
rank_2019,0.0003006210460077969
rank_2010,0.0002945652015811605
2007,0.0002846539057346566
rank_2007,0.00028130743037013646
predicted_rank_2024,0.000273947715771576
2010,0.00026169445950592103
2019,0.00023848886653766966
predicted_rank_2024_int,0.0002311025685131232
Monthly_Weather_Code,0.00022014009187614243
