Feature,Importance
ward_te,0.24575986
Crime_Density_Rolling_12,0.12041536
Crime_Density_Rolling_3,0.07291278
2007,0.07083831
Crime_Density_Rolling_6,0.06746739
pct_change_2007_2019,0.05882782
Avg_Precipitation_Hours,0.026882226
Avg_Precipitation_Sum,0.026423486
Avg_Wind_Speed_10m_Max,0.023777883
2015,0.022704137
2010,0.022532353
rank_2015,0.022443725
Year,0.019231237
Crime_Density_Lag_3,0.018844774
r3,0.017449565
Avg_Temp_2m_Min,0.01607582
rank_2007,0.0148638515
Rolling_Momentum_3_6,0.014223656
Crime_Density_Lag_2,0.014053633
Crime_Density_Lag_1,0.013429082
Avg_Temp_2m_Max,0.012344565
r2,0.0117529975
Avg_Daylight_Duration,0.010672952
r1,0.0099806925
rank_est_2024,0.009908506
month_sin,0.0096614575
mean_annual_rate,0.008919905
month_cos,0.0065772384
imd_est_2024,0.005342794
rank_2019,0.0039292197
Monthly_Weather_Code,0.0017527515
rank_2010,0.0
2019,0.0
