Ward ID,Ward Name
E05009288,Aldersgate
E05009302,Cripplegate
E05009305,Farringdon Without
E05009308,Portsoken
E05009312,Walbrook
E05009317,Bethnal Green East
E05009318,Blackwall & Cubitt Town
E05009319,Bow East
E05009320,Bow West
E05009321,Bromley North
E05009322,Bromley South
E05009323,Canary Wharf
E05009324,Island Gardens
E05009325,Lansbury
E05009326,Limehouse
E05009327,Mile End
E05009328,Poplar
E05009329,St Dunstan's
E05009330,St Katharine's & Wapping
E05009331,Bethnal Green West
E05009332,Shadwell
E05009333,Spitalfields & Banglatown
E05009334,Stepney Green
E05009335,Weavers
E05009336,Whitechapel
E05009367,Brownswood
E05009368,Cazenove
E05009369,Clissold
E05009370,Dalston
E05009371,De Beauvoir
E05009372,Hackney Central
E05009373,Hackney Downs
E05009374,Hackney Wick
E05009375,Haggerston
E05009376,Homerton
E05009377,Hoxton East & Shoreditch
E05009378,Hoxton West
E05009379,King's Park
E05009380,Lea Bridge
E05009381,London Fields
E05009382,Shacklewell
E05009383,Springfield
E05009384,Stamford Hill West
E05009385,Stoke Newington
E05009386,Victoria
E05009387,Woodberry Down
E05009388,Abingdon
E05009389,Brompton & Hans Town
E05009390,Campden
E05009391,Chelsea Riverside
E05009392,Colville
E05009393,Courtfield
E05009394,Dalgarno
E05009395,Earl's Court
E05009396,Golborne
E05009397,Holland
E05009398,Norland
E05009399,Notting Dale
E05009400,Pembridge
E05009401,Queen's Gate
E05009402,Redcliffe
E05009403,Royal Hospital
E05009404,St. Helen's
E05009405,Stanley
E05011095,Borough & Bankside
E05011096,Camberwell Green
E05011097,Champion Hill
E05011098,Chaucer
E05011099,Dulwich Hill
E05011100,Dulwich Village
E05011101,Dulwich Wood
E05011102,Faraday
E05011103,Goose Green
E05011104,London Bridge & West Bermondsey
E05011105,Newington
E05011106,North Bermondsey
E05011107,North Walworth
E05011108,Nunhead & Queen's Road
E05011109,Old Kent Road
E05011110,Peckham
E05011111,Peckham Rye
E05011112,Rotherhithe
E05011113,Rye Lane
E05011114,St George's
E05011115,St Giles
E05011116,South Bermondsey
E05011117,Surrey Docks
E05011217,Barnehurst
E05011218,Belvedere
E05011219,Bexleyheath
E05011220,Blackfen & Lamorbey
E05011221,Blendon & Penhill
E05011222,Crayford
E05011223,Crook Log
E05011224,East Wickham
E05011225,Erith
E05011226,Falconwood & Welling
E05011227,Longlands
E05011228,Northumberland Heath
E05011229,St Mary's & St James
E05011230,Sidcup
E05011231,Slade Green & Northend
E05011232,Thamesmead East
E05011233,West Heath
E05011234,Aldborough
E05011235,Barkingside
E05011236,Bridge
E05011237,Chadwell
E05011238,Churchfields
E05011239,Clayhall
E05011240,Clementswood
E05011241,Cranbrook
E05011242,Fairlop
E05011243,Fullwell
E05011244,Goodmayes
E05011245,Hainault
E05011246,Ilford Town
E05011247,Loxford
E05011248,Mayfield
E05011249,Monkhams
E05011250,Newbury
E05011251,Seven Kings
E05011252,South Woodford
E05011253,Valentines
E05011254,Wanstead Park
E05011255,Wanstead Village
E05011462,Addiscombe East
E05011463,Addiscombe West
E05011464,Bensham Manor
E05011465,Broad Green
E05011466,Coulsdon Town
E05011467,Crystal Palace & Upper Norwood
E05011468,Fairfield
E05011469,Kenley
E05011470,New Addington North
E05011471,New Addington South
E05011472,Norbury & Pollards Hill
E05011473,Norbury Park
E05011474,Old Coulsdon
E05011475,Park Hill & Whitgift
E05011476,Purley & Woodcote
E05011477,Purley Oaks & Riddlesdown
E05011478,Sanderstead
E05011479,Selhurst
E05011480,Selsdon & Addington Village
E05011481,Selsdon Vale & Forestdale
E05011482,Shirley North
E05011483,Shirley South
E05011484,South Croydon
E05011485,South Norwood
E05011486,Thornton Heath
E05011487,Waddon
E05011488,West Thornton
E05011489,Woodside
E05013496,Alperton
E05013497,Barnhill
E05013498,Brondesbury Park
E05013499,Cricklewood & Mapesbury
E05013500,Dollis Hill
E05013501,Harlesden & Kensal Green
E05013502,Kenton
E05013503,Kilburn
E05013504,Kingsbury
E05013505,Northwick Park
E05013506,Preston
E05013507,Queens Park
E05013508,Queensbury
E05013509,Roundwood
E05013510,Stonebridge
E05013511,Sudbury
E05013512,Tokyngton
E05013513,Welsh Harp
E05013514,Wembley Central
E05013515,Wembley Hill
E05013516,Wembley Park
E05013517,Willesden Green
E05013518,Central Greenford
E05013519,Dormers Wells
E05013520,Ealing Broadway
E05013521,Ealing Common
E05013522,East Acton
E05013523,Greenford Broadway
E05013524,Hanger Hill
E05013525,Hanwell Broadway
E05013526,Lady Margaret
E05013527,North Acton
E05013528,North Greenford
E05013529,North Hanwell
E05013530,Northfield
E05013531,Northolt Mandeville
E05013532,Northolt West End
E05013533,Norwood Green
E05013534,Perivale
E05013535,Pitshanger
E05013536,South Acton
E05013537,Southall Broadway
E05013538,Southall Green
E05013539,Southall West
E05013540,Southfield
E05013541,Walpole
E05013542,Belmont
E05013543,Canons
E05013544,Centenary
E05013545,Edgware
E05013546,Greenhill
E05013547,Harrow on the Hill
E05013548,Harrow Weald
E05013549,Hatch End
E05013550,Headstone
E05013551,Kenton East
E05013552,Kenton West
E05013553,Marlborough
E05013554,North Harrow
E05013555,Pinner
E05013556,Pinner South
E05013557,Rayners Lane
E05013558,Roxbourne
E05013559,Roxeth
E05013560,Stanmore
E05013561,Wealdstone North
E05013562,Wealdstone South
E05013563,West Harrow
E05013564,Belmore
E05013565,Charville
E05013566,Colham & Cowley
E05013567,Eastcote
E05013568,Harefield Village
E05013569,Hayes Town
E05013570,Heathrow Villages
E05013571,Hillingdon East
E05013572,Hillingdon West
E05013573,Ickenham & South Harefield
E05013574,Northwood
E05013575,Northwood Hills
E05013576,Pinkwell
E05013577,Ruislip
E05013578,Ruislip Manor
E05013579,South Ruislip
E05013580,Uxbridge
E05013581,West Drayton
E05013582,Wood End
E05013583,Yeading
E05013584,Yiewsley
E05013585,Alexandra Park
E05013586,Bounds Green
E05013587,Bruce Castle
E05013588,Crouch End
E05013589,Fortis Green
E05013590,Harringay
E05013591,Hermitage & Gardens
E05013592,Highgate
E05013593,Hornsey
E05013594,Muswell Hill
E05013595,Noel Park
E05013596,Northumberland Park
E05013597,St Ann's
E05013598,Seven Sisters
E05013599,South Tottenham
E05013600,Stroud Green
E05013601,Tottenham Central
E05013602,Tottenham Hale
E05013603,West Green
E05013604,White Hart Lane
E05013605,Woodside
E05013606,Bedfont
E05013607,Brentford East
E05013608,Brentford West
E05013609,Chiswick Gunnersbury
E05013610,Chiswick Homefields
E05013611,Chiswick Riverside
E05013612,Cranford
E05013613,Feltham North
E05013614,Feltham West
E05013615,Hanworth Park
E05013616,Hanworth Village
E05013617,Heston Central
E05013618,Heston East
E05013619,Heston West
E05013620,Hounslow Central
E05013621,Hounslow East
E05013622,Hounslow Heath
E05013623,Hounslow South
E05013624,Hounslow West
E05013625,Isleworth
E05013626,Osterley & Spring Grove
E05013627,Syon & Brentford Lock
E05013628,Barnet Vale
E05013629,Brunswick Park
E05013630,Burnt Oak
E05013631,Childs Hill
E05013632,Colindale North
E05013633,Colindale South
E05013634,Cricklewood
E05013635,East Barnet
E05013636,East Finchley
E05013637,Edgware
E05013638,Edgwarebury
E05013639,Finchley Church End
E05013640,Friern Barnet
E05013641,Garden Suburb
E05013642,Golders Green
E05013643,Hendon
E05013644,High Barnet
E05013645,Mill Hill
E05013646,Totteridge & Woodside
E05013647,Underhill
E05013648,West Finchley
E05013649,West Hendon
E05013650,Whetstone
E05013651,Woodhouse
E05013652,Belsize
E05013653,Bloomsbury
E05013654,Camden Square
E05013655,Camden Town
E05013656,Fortune Green
