Ward Name,Burglary Count,Burglary Band
West End,1576,Band 10
Marylebone,1131,Band 9
St James's,1058,Band 9
Kilburn,954,Band 9
Bloomsbury,805,Band 8
Holborn & Covent Garden,721,Band 8
Childs Hill,678,Band 8
Lea Bridge,676,Band 8
Hoxton East & Shoreditch,653,Band 8
Borough & Bankside,632,Band 8
Walbrook,620,Band 8
Regent's Park,619,Band 8
Highgate,610,Band 8
Bethnal Green West,605,Band 8
Edgware,588,Band 8
Bayswater,585,Band 8
Lancaster Gate,572,Band 8
Rye Lane,546,Band 8
Spitalfields & Banglatown,532,Band 8
Bethnal Green East,530,Band 8
Bunhill,515,Band 7
London Bridge & West Bermondsey,507,Band 7
Rushey Green,503,Band 7
Brockley,502,Band 7
Chaucer,498,Band 7
Deptford,481,Band 7
Hendon,479,Band 7
Waterloo & South Bank,455,Band 7
Edmonton Green,453,Band 7
Bow East,440,Band 7
Northumberland Park,438,Band 7
London Fields,437,Band 7
Dollis Hill,436,Band 7
Stratford,434,Band 7
Canary Wharf,430,Band 7
Queens Park,426,Band 7
Village,423,Band 7
South Bermondsey,423,Band 7
Burnt Oak,420,Band 7
Hyde Park,415,Band 7
Lansbury,409,Band 7
Balham,408,Band 7
Whitechapel,403,Band 7
Fairfield,401,Band 7
Junction,401,Band 7
Upper Edmonton,400,Band 7
Weavers,399,Band 7
Brimsdown,398,Band 7
South Acton,395,Band 7
Cricklewood & Mapesbury,395,Band 7
West Hendon,394,Band 7
Penge & Cator,392,Band 7
North Acton,392,Band 7
Tollington,391,Band 7
Woodside,390,Band 7
Clapham Town,389,Band 7
Finchley Church End,388,Band 7
Mile End,385,Band 7
North Bermondsey,380,Band 6
Heaton,378,Band 6
Homerton,378,Band 6
Cricklewood,377,Band 6
Broad Green,375,Band 6
Harlesden & Kensal Green,373,Band 6
Hackney Central,372,Band 6
West Finchley,371,Band 6
Lavender,370,Band 6
Brixton Windrush,368,Band 6
Brompton & Hans Town,367,Band 6
Southall Green,366,Band 6
Hoxton West,365,Band 6
Finsbury Park,362,Band 6
Purley & Woodcote,362,Band 6
Clerkenwell,362,Band 6
Dalston,359,Band 6
Greenwich Peninsula,357,Band 6
Brixton Acre Lane,356,Band 6
Battersea Park,354,Band 6
Tooting Broadway,354,Band 6
Willesden Green,353,Band 6
Perry Vale,353,Band 6
South Richmond,351,Band 6
Hillrise,347,Band 6
Stonebridge,346,Band 6
West Hampstead,345,Band 6
Brixton North,345,Band 6
Earl's Court,344,Band 6
Belsize,344,Band 6
Uxbridge,344,Band 6
Church Street,342,Band 6
Streatham St Leonard's,341,Band 6
Hackney Downs,340,Band 6
Brondesbury Park,339,Band 6
East Ham,337,Band 6
St Pancras & Somers Town,337,Band 6
Noel Park,337,Band 6
North Walworth,335,Band 6
Wandsworth Town,334,Band 6
Enfield Lock,333,Band 6
Whitewebbs,333,Band 6
Redcliffe,331,Band 6
Herne Hill & Loughborough Junction,331,Band 6
West Thornton,330,Band 6
Laycock,330,Band 6
Chiswick Gunnersbury,329,Band 6
Ealing Common,329,Band 6
Victoria,328,Band 6
St Paul's Cray,328,Band 6
Crouch End,328,Band 6
Golders Green,328,Band 6
Friern Barnet,328,Band 6
Heathrow Villages,325,Band 6
Maida Vale,325,Band 6
South Tottenham,324,Band 6
Blackheath,324,Band 6
East Putney,323,Band 6
Hayes Town,323,Band 6
Town,320,Band 6
Faraday,319,Band 6
Hither Green,317,Band 6
Chiswick Homefields,315,Band 6
Coningham,315,Band 6
Holloway,314,Band 6
Sydenham,312,Band 6
Bow West,312,Band 6
Totteridge & Woodside,310,Band 6
St Peter's & Canalside,309,Band 6
Hackney Wick,308,Band 6
St Mary's,307,Band 6
Pimlico North,307,Band 6
Waddon,307,Band 6
Plumstead & Glyndon,305,Band 6
Haggerston,304,Band 6
St Mary's & St James',301,Band 5
Hanger Hill,300,Band 5
Tottenham Central,300,Band 5
Forest Gate South,298,Band 5
Colville,298,Band 5
