Month,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase
2022-03-01,13.2,5.97,9.34,12.67,3.95,8.08,4.2,72.47,1.1,51.61,11.16,0.0,0.0,38.85,19.91,114.5,1021.95,47.87,14.03,72.28,6.24,3.42,0.48
2022-04-01,15.31,6.91,11.01,15.07,5.43,10.3,4.05,64.31,0.62,23.33,4.31,0.0,0.0,39.76,21.79,140.97,1015.75,42.7,17.26,125.8,10.82,5.4,0.45
2022-05-01,19.1,10.69,14.78,19.1,10.44,14.74,8.69,69.07,1.22,51.61,9.54,0.0,0.0,39.32,20.36,203.75,1018.18,49.61,18.1,125.08,10.78,5.45,0.45
2022-06-01,22.21,12.58,17.4,22.12,12.55,17.37,9.99,64.37,0.77,56.67,7.08,0.0,0.0,39.05,21.49,175.65,1015.77,39.87,17.74,155.35,13.38,6.8,0.49
2022-07-01,26.24,16.23,21.24,25.87,16.23,21.12,11.35,55.88,0.01,19.35,1.48,0.0,0.0,35.91,19.45,222.57,1020.74,41.06,20.03,168.1,14.5,6.61,0.46
2022-08-01,26.32,16.53,21.16,26.01,16.53,21.07,12.61,61.45,2.41,24.14,3.95,0.0,0.0,31.3,17.96,174.62,1017.9,35.43,17.75,124.21,10.7,6.33,0.5
2022-09-01,19.91,12.65,16.0,19.91,12.34,15.93,10.87,73.13,1.7,50.0,13.75,0.0,0.0,29.87,17.7,219.79,1013.21,54.55,17.08,82.53,7.12,3.97,0.48
2022-10-01,18.12,11.0,14.39,18.12,10.88,14.36,10.92,80.8,2.2,74.19,15.59,0.0,0.0,35.14,20.96,205.8,1014.38,51.73,15.44,47.39,4.07,2.97,0.48
2022-11-01,12.96,8.09,10.58,12.83,6.83,9.92,8.11,85.07,3.62,70.0,26.11,0.0,0.0,38.63,23.27,201.47,1007.4,65.92,13.69,22.92,1.96,1.43,0.48
2022-12-01,7.98,3.17,5.55,6.98,1.14,3.99,3.25,85.38,1.44,74.19,18.82,0.0,0.45,33.06,18.76,181.35,1011.57,62.64,11.75,15.46,1.31,1.03,0.48
2023-01-01,8.98,3.33,6.31,7.81,1.0,4.48,3.28,81.42,1.87,54.84,16.8,0.02,0.17,36.27,23.48,219.62,1014.88,61.02,20.23,22.31,1.92,1.45,0.47
2023-02-01,10.21,3.88,6.85,9.28,2.03,5.29,3.41,79.56,0.17,39.29,4.17,0.0,0.01,29.99,18.92,190.52,1028.43,60.99,21.12,40.12,3.47,2.29,0.49
2023-03-01,11.09,5.96,8.39,10.27,3.85,6.95,4.56,77.71,2.87,80.65,29.44,0.05,0.05,38.26,24.47,184.55,1008.06,84.1,19.0,57.43,4.95,2.74,0.46
2023-04-01,14.21,6.65,10.14,14.21,4.91,9.21,4.73,70.88,2.05,56.67,15.97,0.0,0.0,32.87,20.79,175.1,1016.26,59.6,24.18,111.4,9.61,5.2,0.48
2023-05-01,17.93,10.13,13.92,17.93,9.62,13.84,7.82,68.35,0.76,32.26,7.12,0.0,0.0,30.94,19.68,127.97,1022.57,53.8,25.42,136.51,11.78,6.32,0.46
2023-06-01,24.58,14.28,19.17,24.37,14.23,19.12,11.09,61.73,0.43,33.33,3.61,0.0,0.0,31.65,20.18,140.22,1017.73,39.76,23.46,164.36,14.2,7.07,0.48
2023-07-01,21.61,14.39,17.92,21.58,14.39,17.91,11.91,69.79,1.44,77.42,15.86,0.0,0.0,36.98,23.92,240.54,1010.94,63.55,19.55,132.98,11.5,6.32,0.46
2023-08-01,22.16,14.45,18.05,22.15,14.45,18.05,12.7,72.57,1.22,58.06,10.89,0.0,0.0,31.28,20.31,233.42,1013.31,56.93,18.08,115.7,9.96,6.77,0.49
2023-09-01,23.82,14.94,18.99,23.84,14.88,18.99,13.68,73.4,1.67,40.0,7.08,0.0,0.0,30.79,19.81,171.04,1014.15,48.0,16.56,86.08,7.45,4.7,0.5
2023-10-01,17.57,10.89,13.82,17.57,10.54,13.71,10.58,81.84,2.29,64.52,18.15,0.0,0.0,31.95,19.23,204.62,1007.01,54.66,16.44,44.78,3.85,2.87,0.49
2023-11-01,11.26,5.85,8.5,10.88,3.64,7.26,5.88,84.07,2.44,76.67,21.25,0.0,0.0,35.44,21.81,248.72,1004.55,58.97,15.21,22.79,1.98,1.63,0.5
2023-12-01,10.55,6.35,8.64,10.0,4.25,7.34,5.99,83.83,2.34,74.19,20.3,0.0,0.0,43.16,25.6,227.05,1010.95,77.68,14.28,13.25,1.14,1.03,0.49
2024-01-01,8.45,3.53,6.03,7.0,0.69,3.8,2.16,76.77,1.53,45.16,9.01,0.01,0.0,44.58,25.85,198.79,1017.08,63.23,15.02,26.74,2.32,1.71,0.5
2024-02-01,12.12,7.07,9.39,11.72,5.28,8.31,6.5,82.7,3.09,86.21,20.55,0.0,0.0,42.76,24.66,214.8,1009.37,76.24,14.74,44.47,3.88,2.55,0.47
2024-03-01,12.62,6.82,9.5,12.38,4.97,8.38,5.67,78.01,2.51,58.06,15.99,0.0,0.0,39.75,22.68,185.12,1004.96,69.62,13.34,89.73,7.71,4.9,0.5
2024-04-01,14.54,8.14,11.06,14.5,6.39,10.22,5.49,69.94,1.38,56.67,14.44,0.0,0.0,43.91,26.51,224.28,1013.03,63.4,16.26,129.48,11.18,6.13,0.47
2024-05-01,18.91,11.32,14.97,18.91,11.12,14.93,10.2,74.9,2.28,54.84,14.65,0.0,0.0,29.63,18.48,168.32,1012.4,57.08,14.48,124.38,10.75,6.06,0.5
2024-06-01,20.74,11.59,16.47,20.74,11.51,16.46,9.37,64.65,0.44,26.67,5.0,0.0,0.0,31.8,20.09,212.87,1014.41,45.8,17.45,152.92,13.19,7.4,0.47
2024-07-01,22.61,14.23,18.41,22.55,14.23,18.4,12.47,70.37,2.19,51.61,11.29,0.0,0.0,33.63,20.02,214.58,1013.7,53.05,16.96,128.65,11.14,5.81,0.47
2024-08-01,23.72,15.23,19.3,23.86,15.23,19.33,12.98,68.52,0.52,38.71,5.24,0.0,0.0,37.0,22.77,213.61,1013.85,45.94,15.89,118.75,10.26,6.39,0.49
2024-09-01,19.54,12.41,15.68,19.57,12.07,15.58,11.6,78.03,3.4,70.0,19.44,0.0,0.0,32.27,20.02,185.71,1013.93,62.0,17.56,66.72,5.77,3.7,0.5
2024-10-01,16.09,10.22,12.96,16.09,9.9,12.85,10.17,83.87,1.53,70.97,15.86,0.0,0.0,28.12,17.08,188.09,1013.81,66.76,15.32,38.4,3.32,2.35,0.5
2024-11-01,11.12,6.43,8.76,10.67,5.04,7.78,5.9,82.55,2.01,46.67,12.36,0.0,0.0,30.1,17.44,203.52,1019.94,74.36,12.01,17.79,1.54,1.2,0.49
2024-12-01,9.99,6.08,8.09,9.01,3.63,6.26,5.5,84.22,0.97,70.97,15.73,0.0,0.0,37.38,23.07,222.84,1021.51,83.93,14.51,12.52,1.08,0.84,0.46
2025-01-01,7.32,2.38,4.86,6.14,-0.06,2.97,2.41,84.6,2.29,58.06,15.99,0.14,0.16,30.06,19.15,223.45,1013.37,70.52,21.06,17.63,1.51,1.19,0.48
2025-02-01,8.41,3.82,6.14,6.74,1.37,4.13,2.99,80.78,1.4,53.57,12.65,0.0,0.0,30.74,19.06,148.48,1021.68,69.19,18.34,32.83,2.83,1.86,0.53
2025-03-01,13.66,5.21,9.16,13.13,3.7,8.27,3.56,69.86,0.05,16.13,1.34,0.0,0.0,27.86,17.77,146.89,1017.18,44.01,27.05,83.1,7.2,4.42,0.47
2025-04-01,17.72,7.81,12.4,17.69,6.56,11.93,5.33,64.72,0.61,16.67,3.61,0.0,0.0,31.68,20.06,117.0,1017.46,35.66,30.5,125.09,10.82,6.17,0.46
